semana_fiscal,categoria,tienda,inventario_inicial,unidades_vendidas
1,Mujer,Tienda Norte,227,136
1,Mujer,Tienda Sur,133,96
1,Mujer,Tienda Centro,191,144
1,Mujer,Tienda Oriente,183,127
1,Mujer,Tienda Poniente,186,130
1,Niños,Tienda Norte,100,30
1,Niños,Tienda Sur,57,21
1,Niños,Tienda Centro,83,34
1,Niños,Tienda Oriente,77,23
1,Niños,Tienda Poniente,74,15
1,Calzado,Tienda Norte,104,33
1,Calzado,Tienda Sur,62,23
1,Calzado,Tienda Centro,73,20
1,Calzado,Tienda Oriente,56,21
1,Calzado,Tienda Poniente,80,33
1,Hombre,Tienda Norte,67,14
1,Hombre,Tienda Sur,52,12
1,Hombre,Tienda Centro,57,14
1,Hombre,Tienda Oriente,51,15
1,Hombre,Tienda Poniente,65,14
1,Accesorios,Tienda Norte,151,109
1,Accesorios,Tienda Sur,96,78
1,Accesorios,Tienda Centro,123,99
1,Accesorios,Tienda Oriente,121,87
1,Accesorios,Tienda Poniente,110,64
2,Mujer,Tienda Norte,140,32
2,Mujer,Tienda Sur,97,38
2,Mujer,Tienda Centro,145,37
2,Mujer,Tienda Oriente,97,21
2,Mujer,Tienda Poniente,123,26
2,Niños,Tienda Norte,100,37
2,Niños,Tienda Sur,62,16
2,Niños,Tienda Centro,98,41
2,Niños,Tienda Oriente,69,20
2,Niños,Tienda Poniente,83,28
2,Calzado,Tienda Norte,101,34
2,Calzado,Tienda Sur,61,20
2,Calzado,Tienda Centro,72,24
2,Calzado,Tienda Oriente,61,23
2,Calzado,Tienda Poniente,70,30
2,Hombre,Tienda Norte,84,29
2,Hombre,Tienda Sur,44,17
2,Hombre,Tienda Centro,69,22
2,Hombre,Tienda Oriente,56,20
2,Hombre,Tienda Poniente,63,18
2,Accesorios,Tienda Norte,130,38
2,Accesorios,Tienda Sur,76,29
2,Accesorios,Tienda Centro,103,26
2,Accesorios,Tienda Oriente,84,33
2,Accesorios,Tienda Poniente,82,31
3,Mujer,Tienda Norte,242,152
3,Mujer,Tienda Sur,130,89
3,Mujer,Tienda Centro,226,152
3,Mujer,Tienda Oriente,169,114
3,Mujer,Tienda Poniente,205,145
3,Niños,Tienda Norte,107,39
3,Niños,Tienda Sur,69,16
3,Niños,Tienda Centro,77,22
3,Niños,Tienda Oriente,81,23
3,Niños,Tienda Poniente,81,33
3,Calzado,Tienda Norte,85,34
3,Calzado,Tienda Sur,60,16
3,Calzado,Tienda Centro,76,17
3,Calzado,Tienda Oriente,61,24
3,Calzado,Tienda Poniente,68,26
3,Hombre,Tienda Norte,72,20
3,Hombre,Tienda Sur,53,16
3,Hombre,Tienda Centro,74,25
3,Hombre,Tienda Oriente,60,17
3,Hombre,Tienda Poniente,52,13
3,Accesorios,Tienda Norte,99,28
3,Accesorios,Tienda Sur,68,25
3,Accesorios,Tienda Centro,99,34
3,Accesorios,Tienda Oriente,78,20
3,Accesorios,Tienda Poniente,77,16
4,Mujer,Tienda Norte,143,49
4,Mujer,Tienda Sur,94,33
4,Mujer,Tienda Centro,144,32
4,Mujer,Tienda Oriente,100,29
4,Mujer,Tienda Poniente,109,37
4,Niños,Tienda Norte,108,37
4,Niños,Tienda Sur,67,26
4,Niños,Tienda Centro,78,19
4,Niños,Tienda Oriente,75,20
