fecha,producto,ventas
2023-01-01,Laptop Pro,2971.18
2023-01-01,Monitor 4K,2965.42
2023-01-01,Teclado Mecanico,2977.74
2023-01-01,Mouse Inalambrico,3140.4
2023-01-01,Auriculares BT,2974.48
2023-01-02,Laptop Pro,3107.22
2023-01-02,Monitor 4K,3473.15
2023-01-02,Teclado Mecanico,3353.22
2023-01-02,Mouse Inalambrico,3363.29
2023-01-02,Auriculares BT,3429.86
2023-01-03,Laptop Pro,3565.46
2023-01-03,Monitor 4K,3751.71
2023-01-03,Teclado Mecanico,3650.33
2023-01-03,Mouse Inalambrico,3541.1
2023-01-03,Auriculares BT,3371.34
2023-01-04,Laptop Pro,3061.31
2023-01-04,Monitor 4K,3313.51
2023-01-04,Teclado Mecanico,3526.45
2023-01-04,Mouse Inalambrico,3272.57
2023-01-04,Auriculares BT,3242.97
2023-01-05,Laptop Pro,2952.46
2023-01-05,Monitor 4K,2555.39
2023-01-05,Teclado Mecanico,2783.64
2023-01-05,Mouse Inalambrico,2944.17
2023-01-05,Auriculares BT,3020.78
2023-01-06,Laptop Pro,2543.18
2023-01-06,Monitor 4K,2666.63
2023-01-06,Teclado Mecanico,2640.95
2023-01-06,Mouse Inalambrico,2747.77
2023-01-06,Auriculares BT,2368.66
2023-01-07,Laptop Pro,2817.22
2023-01-07,Monitor 4K,2400.66
2023-01-07,Teclado Mecanico,2179.58
2023-01-07,Mouse Inalambrico,2582.19
2023-01-07,Auriculares BT,2520.4
2023-01-08,Laptop Pro,3285.37
2023-01-08,Monitor 4K,3243.02
2023-01-08,Teclado Mecanico,2866.35
2023-01-08,Mouse Inalambrico,3279.64
2023-01-08,Auriculares BT,2909.73
2023-01-09,Laptop Pro,3499.49
2023-01-09,Monitor 4K,3457.96
2023-01-09,Teclado Mecanico,3539.62
2023-01-09,Mouse Inalambrico,3680.47
2023-01-09,Auriculares BT,3644.42
2023-01-10,Laptop Pro,3698.89
2023-01-10,Monitor 4K,3758.9
2023-01-10,Teclado Mecanico,3724.61
2023-01-10,Mouse Inalambrico,3503.51
2023-01-10,Auriculares BT,3485.44
2023-01-11,Laptop Pro,3279.98
2023-01-11,Monitor 4K,3473.84
2023-01-11,Teclado Mecanico,3323.95
2023-01-11,Mouse Inalambrico,3841.13
2023-01-11,Auriculares BT,3210.12
2023-01-12,Laptop Pro,2735.86
2023-01-12,Monitor 4K,3109.33
2023-01-12,Teclado Mecanico,3240.01
2023-01-12,Mouse Inalambrico,3056.78
2023-01-12,Auriculares BT,3122.8
2023-01-13,Laptop Pro,2985.89
2023-01-13,Monitor 4K,2681.81
2023-01-13,Teclado Mecanico,2416.03
2023-01-13,Mouse Inalambrico,2594.2
2023-01-13,Auriculares BT,2891.2
2023-01-14,Laptop Pro,2523.89
2023-01-14,Monitor 4K,2819.33
2023-01-14,Teclado Mecanico,2863.27
2023-01-14,Mouse Inalambrico,2749.5
2023-01-14,Auriculares BT,2957.35
2023-01-15,Laptop Pro,3335.09
2023-01-15,Monitor 4K,3683.22
2023-01-15,Teclado Mecanico,3342.93
2023-01-15,Mouse Inalambrico,3097.06
2023-01-15,Auriculares BT,3106.58
2023-01-16,Laptop Pro,3458.88
2023-01-16,Monitor 4K,3815.65
2023-01-16,Teclado Mecanico,3511.83
2023-01-16,Mouse Inalambrico,3611.15
2023-01-16,Auriculares BT,3775.06
2023-01-17,Laptop Pro,3592.34
2023-01-17,Monitor 4K,3678.3
2023-01-17,Teclado Mecanico,3368.77
2023-01-17,Mouse Inalambrico,3520.53
2023-01-17,Auriculares BT,3623.48
2023-01-18,Laptop Pro,3564.88
2023-01-18,Monitor 4K,3720.43
2023-01-18,Teclado Mecanico,3478.03
2023-01-18,Mouse Inalambrico,3534.0
2023-01-18,Auriculares BT,3515.32
2023-01-19,Laptop Pro,3279.94
2023-01-19,Monitor 4K,3241.67
2023-01-19,Teclado Mecanico,3117.73
2023-01-19,Mouse Inalambrico,2860.81
2023-01-19,Auriculares BT,3243.67
2023-01-20,Laptop Pro,2883.76
2023-01-20,Monitor 4K,3052.94
2023-01-20,Teclado Mecanico,2801.57
2023-01-20,Mouse Inalambrico,3198.17
2023-01-20,Auriculares BT,2735.78
2023-01-21,Laptop Pro,3237.71
2023-01-21,Monitor 4K,2942.13
2023-01-21,Teclado Mecanico,2815.85
2023-01-21,Mouse Inalambrico,2693.41
2023-01-21,Auriculares BT,2888.9
2023-01-22,Laptop Pro,3609.61
2023-01-22,Monitor 4K,3488.22
2023-01-22,Teclado Mecanico,3462.72
2023-01-22,Mouse Inalambrico,2849.77
2023-01-22,Auriculares BT,3467.13
2023-01-23,Laptop Pro,3841.87
2023-01-23,Monitor 4K,3620.71
2023-01-23,Teclado Mecanico,3605.22
2023-01-23,Mouse Inalambrico,3730.23
2023-01-23,Auriculares BT,4075.67
2023-01-24,Laptop Pro,3630.97
2023-01-24,Monitor 4K,3756.43
2023-01-24,Teclado Mecanico,4114.35
2023-01-24,Mouse Inalambrico,3752.76
2023-01-24,Auriculares BT,3769.14
2023-01-25,Laptop Pro,3605.69
2023-01-25,Monitor 4K,3337.87
2023-01-25,Teclado Mecanico,3630.12
2023-01-25,Mouse Inalambrico,3344.21
2023-01-25,Auriculares BT,3763.17
2023-01-26,Laptop Pro,3167.45
2023-01-26,Monitor 4K,3623.5
2023-01-26,Teclado Mecanico,3222.98
2023-01-26,Mouse Inalambrico,3439.95
2023-01-26,Auriculares BT,2906.16
2023-01-27,Laptop Pro,2886.33
2023-01-27,Monitor 4K,2975.39
2023-01-27,Teclado Mecanico,3259.9
2023-01-27,Mouse Inalambrico,2574.57
2023-01-27,Auriculares BT,3108.88
2023-01-28,Laptop Pro,3139.94
2023-01-28,Monitor 4K,3328.38
2023-01-28,Teclado Mecanico,3164.14
2023-01-28,Mouse Inalambrico,3032.08
2023-01-28,Auriculares BT,2917.34
2023-01-29,Laptop Pro,3177.2
2023-01-29,Monitor 4K,3465.92
2023-01-29,Teclado Mecanico,3388.5
2023-01-29,Mouse Inalambrico,3830.89
2023-01-29,Auriculares BT,3304.64
2023-01-30,Laptop Pro,3895.98
2023-01-30,Monitor 4K,3518.1
2023-01-30,Teclado Mecanico,3752.81
2023-01-30,Mouse Inalambrico,3884.13
2023-01-30,Auriculares BT,3996.69
2023-01-31,Laptop Pro,4232.1
2023-01-31,Monitor 4K,3933.65
2023-01-31,Teclado Mecanico,3719.04
2023-01-31,Mouse Inalambrico,4034.05
2023-01-31,Auriculares BT,4045.88
2023-02-01,Laptop Pro,3784.21
2023-02-01,Monitor 4K,3545.82
2023-02-01,Teclado Mecanico,3912.56
2023-02-01,Mouse Inalambrico,3703.46
2023-02-01,Auriculares BT,3825.84
2023-02-02,Laptop Pro,3520.61
2023-02-02,Monitor 4K,3387.65
2023-02-02,Teclado Mecanico,3323.09
2023-02-02,Mouse Inalambrico,3696.35
2023-02-02,Auriculares BT,3314.53
2023-02-03,Laptop Pro,2949.75
2023-02-03,Monitor 4K,3031.33
2023-02-03,Teclado Mecanico,3305.49
2023-02-03,Mouse Inalambrico,3032.68
2023-02-03,Auriculares BT,3112.82
2023-02-04,Laptop Pro,3358.18
2023-02-04,Monitor 4K,3016.46
2023-02-04,Teclado Mecanico,2773.72
2023-02-04,Mouse Inalambrico,3178.92
2023-02-04,Auriculares BT,3164.98
2023-02-05,Laptop Pro,3401.76
2023-02-05,Monitor 4K,3697.58
2023-02-05,Teclado Mecanico,3644.87
2023-02-05,Mouse Inalambrico,3324.36
2023-02-05,Auriculares BT,3627.01
2023-02-06,Laptop Pro,3888.33
2023-02-06,Monitor 4K,3630.95
2023-02-06,Teclado Mecanico,4018.15
2023-02-06,Mouse Inalambrico,3918.51
2023-02-06,Auriculares BT,3778.5
2023-02-07,Laptop Pro,4141.83
2023-02-07,Monitor 4K,4134.86
2023-02-07,Teclado Mecanico,3921.74
2023-02-07,Mouse Inalambrico,4117.32
2023-02-07,Auriculares BT,4240.26
2023-02-08,Laptop Pro,3637.19
2023-02-08,Monitor 4K,3855.9
2023-02-08,Teclado Mecanico,3780.27
2023-02-08,Mouse Inalambrico,4232.93
2023-02-08,Auriculares BT,3407.26
2023-02-09,Laptop Pro,3497.75
2023-02-09,Monitor 4K,3297.45
2023-02-09,Teclado Mecanico,3338.66
2023-02-09,Mouse Inalambrico,3739.01
2023-02-09,Auriculares BT,3356.98
2023-02-10,Laptop Pro,3549.07
2023-02-10,Monitor 4K,3012.45
2023-02-10,Teclado Mecanico,3170.98
2023-02-10,Mouse Inalambrico,3002.71
2023-02-10,Auriculares BT,2962.74
2023-02-11,Laptop Pro,3222.48
2023-02-11,Monitor 4K,3153.47
2023-02-11,Teclado Mecanico,3250.49
2023-02-11,Mouse Inalambrico,2788.98
2023-02-11,Auriculares BT,3610.48
2023-02-12,Laptop Pro,3579.91
2023-02-12,Monitor 4K,3961.89
2023-02-12,Teclado Mecanico,3411.89
2023-02-12,Mouse Inalambrico,3671.81
2023-02-12,Auriculares BT,4246.3
2023-02-13,Laptop Pro,3842.52
2023-02-13,Monitor 4K,3717.41
2023-02-13,Teclado Mecanico,3907.17
2023-02-13,Mouse Inalambrico,4110.97
2023-02-13,Auriculares BT,4155.14
2023-02-14,Laptop Pro,4383.18
2023-02-14,Monitor 4K,4073.7
2023-02-14,Teclado Mecanico,3804.66
2023-02-14,Mouse Inalambrico,4038.1
2023-02-14,Auriculares BT,4373.15
2023-02-15,Laptop Pro,3959.64
2023-02-15,Monitor 4K,3475.12
