semana_fiscal,tienda,trafico,transacciones,tasa_conversion_pct
1,Tienda Norte,2507,415,16.6
1,Tienda Sur,1097,163,14.9
1,Tienda Centro,1651,256,15.5
1,Tienda Oriente,1449,219,15.1
1,Tienda Poniente,1427,239,16.8
2,Tienda Norte,1800,254,14.1
2,Tienda Sur,798,94,11.8
2,Tienda Centro,1290,164,12.8
2,Tienda Oriente,1101,133,12.2
2,Tienda Poniente,1108,134,12.2
3,Tienda Norte,2027,353,17.4
3,Tienda Sur,1134,144,12.7
3,Tienda Centro,1620,222,13.7
3,Tienda Oriente,1276,184,14.4
3,Tienda Poniente,1477,242,16.4
4,Tienda Norte,1616,227,14.1
4,Tienda Sur,1004,113,11.3
4,Tienda Centro,1481,190,12.8
4,Tienda Oriente,993,112,11.3
4,Tienda Poniente,1078,143,13.3
5,Tienda Norte,2179,317,14.6
5,Tienda Sur,1065,145,13.7
5,Tienda Centro,1700,226,13.3
5,Tienda Oriente,1458,181,12.5
5,Tienda Poniente,1558,257,16.6
6,Tienda Norte,1908,233,12.2
6,Tienda Sur,906,90,10.0
6,Tienda Centro,1390,148,10.7
6,Tienda Oriente,1170,117,10.0
6,Tienda Poniente,1328,132,10.0
7,Tienda Norte,1798,215,12.0
7,Tienda Sur,869,103,11.9
7,Tienda Centro,1271,167,13.2
7,Tienda Oriente,1206,142,11.8
7,Tienda Poniente,1072,134,12.5
8,Tienda Norte,2447,385,15.8
8,Tienda Sur,1113,143,12.9
8,Tienda Centro,1970,332,16.9
8,Tienda Oriente,1575,245,15.6
8,Tienda Poniente,1588,237,14.9
9,Tienda Norte,1791,248,13.9
9,Tienda Sur,955,95,10.0
9,Tienda Centro,1234,135,11.0
9,Tienda Oriente,1212,127,10.5
9,Tienda Poniente,1168,146,12.5
10,Tienda Norte,2653,438,16.5
10,Tienda Sur,1145,176,15.4
10,Tienda Centro,1702,257,15.1
10,Tienda Oriente,1315,220,16.8
10,Tienda Poniente,1516,257,17.0
11,Tienda Norte,2272,427,18.8
11,Tienda Sur,1229,176,14.3
11,Tienda Centro,1815,269,14.9
11,Tienda Oriente,1546,210,13.6
11,Tienda Poniente,1605,252,15.7
12,Tienda Norte,1703,222,13.1
12,Tienda Sur,832,91,11.0
12,Tienda Centro,1255,136,10.8
12,Tienda Oriente,1005,105,10.5
12,Tienda Poniente,1308,165,12.6
13,Tienda Norte,2252,376,16.7
13,Tienda Sur,993,140,14.1
13,Tienda Centro,1633,233,14.3
13,Tienda Oriente,1316,187,14.2
13,Tienda Poniente,1532,217,14.2
14,Tienda Norte,1941,222,11.4
14,Tienda Sur,846,86,10.2
14,Tienda Centro,1524,172,11.3
14,Tienda Oriente,1053,114,10.9
14,Tienda Poniente,1279,155,12.1
15,Tienda Norte,1910,277,14.5
15,Tienda Sur,895,101,11.3
15,Tienda Centro,1494,180,12.1
15,Tienda Oriente,1101,123,11.2
15,Tienda Poniente,1306,160,12.3
16,Tienda Norte,2192,336,15.4
16,Tienda Sur,1086,129,11.9
16,Tienda Centro,1447,206,14.3
16,Tienda Oriente,1157,147,12.7
16,Tienda Poniente,1473,194,13.2
17,Tienda Norte,1977,265,13.4
17,Tienda Sur,913,102,11.2
17,Tienda Centro,1251,135,10.9
17,Tienda Oriente,1158,134,11.6
17,Tienda Poniente,1240,166,13.4
18,Tienda Norte,2041,301,14.8
18,Tienda Sur,1201,141,11.8
18,Tienda Centro,1686,248,14.8
18,Tienda Oriente,1464,183,12.5
18,Tienda Poniente,1509,208,13.8
19,Tienda Norte,2225,375,16.9
19,Tienda Sur,1219,149,12.3
19,Tienda Centro,1854,258,13.9
19,Tienda Oriente,1343,209,15.6
19,Tienda Poniente,1626,234,14.4
20,Tienda Norte,2061,320,15.6
20,Tienda Sur,1248,159,12.7
20,Tienda Centro,1944,321,16.6
20,Tienda Oriente,1538,247,16.1
20,Tienda Poniente,1609,280,17.4
21,Tienda Norte,2727,558,20.5
21,Tienda Sur,1210,198,16.4
21,Tienda Centro,2347,413,17.6
21,Tienda Oriente,1735,277,16.0
21,Tienda Poniente,1792,341,19.1
22,Tienda Norte,2778,512,18.5
22,Tienda Sur,1295,190,14.7
22,Tienda Centro,2067,391,18.9
22,Tienda Oriente,1551,264,17.1
22,Tienda Poniente,1763,302,17.2
23,Tienda Norte,2638,459,17.4
23,Tienda Sur,1294,214,16.6
23,Tienda Centro,1869,324,17.4
23,Tienda Oriente,1480,243,16.4
23,Tienda Poniente,1555,274,17.6
24,Tienda Norte,2596,436,16.8
24,Tienda Sur,1172,161,13.8
24,Tienda Centro,1734,290,16.8
24,Tienda Oriente,1603,248,15.5
24,Tienda Poniente,1599,261,16.3
25,Tienda Norte,2193,409,18.7
25,Tienda Sur,1164,169,14.6
25,Tienda Centro,1723,251,14.6
25,Tienda Oriente,1261,179,14.2
