promotions_sample
semana_fiscal,fecha_inicio,fecha_fin,tipo_promo,categoria,descripcion,md_pct
1,2023-01-30,2023-02-05,WkndPromo,Mujer,Toda la colección 50%+20% off / Seleccionados $599,50
1,2023-01-30,2023-02-05,WkndPromo,Accesorios,Bolsos y cinturones B1G1 50% off,50
1,2023-01-30,2023-02-05,DD,Mujer,B2G1 en blusas y faldas,33
1,2023-01-30,2023-02-05,DD,Calzado,"Tenis seleccionados B2$1,099",15
2,2023-02-06,2023-02-12,WkndPromo,Niños,Colección infantil B1G1 50% off (6 al 13 feb),50
2,2023-02-06,2023-02-12,DD,Mujer,B2G1 en blusas y faldas,33
2,2023-02-06,2023-02-12,DD,Calzado,"Tenis seleccionados B2$1,099",15
3,2023-02-13,2023-02-19,WkndPromo,Mujer,San Valentín - Vestidos B1G1 50% off,50
3,2023-02-13,2023-02-19,OtherPromo,Niños,Pijamas infantiles B1G1 (11 al 14 feb),50
3,2023-02-13,2023-02-19,DD,Mujer,B2G1 en blusas y faldas,33
4,2023-02-20,2023-02-26,WkndPromo,Accesorios,Accesorios seleccionados B2G1 (18 al 20),33
4,2023-02-20,2023-02-26,OtherPromo,Mujer,Vestidos de noche B1G1 14 febrero,50
4,2023-02-20,2023-02-26,DD,Mujer,B2G1 en blusas y faldas,33
5,2023-02-27,2023-03-05,WkndPromo,Niños,Colección Primavera Niños B1G1 / $599 seleccionados,50
5,2023-02-27,2023-03-05,OtherPromo,Calzado,Toda la colección calzado B1G1 50% off (25 al 27),50
5,2023-02-27,2023-03-05,DD,Niños,B3G1 ropa infantil,25
6,2023-03-06,2023-03-12,WkndPromo,Hombre,Camisas y pantalones B2G1 (4 al 6),33
6,2023-03-06,2023-03-12,OtherPromo,Calzado,Botas seleccionadas B1G1 (1 al 13 mar),50
6,2023-03-06,2023-03-12,DD,Niños,B3G1 ropa infantil,25
7,2023-03-13,2023-03-19,WkndPromo,Accesorios,Bolsos + cinturones B2G1 (11 al 13),33
7,2023-03-13,2023-03-19,DD,Niños,B2G1 ropa infantil,33
8,2023-03-20,2023-03-26,WkndPromo,Mujer,Día de la Mujer - Colección completa 40% off,40
8,2023-03-20,2023-03-26,OtherPromo,Calzado,Día de la Moda - Tenis $799 (16 al 20),20
8,2023-03-20,2023-03-26,DD,Mujer,B3G1 blusas,25
9,2023-03-27,2023-04-02,WkndPromo,Niños,Floorset Primavera Mix & Match B2G1 (25 al 27),33
9,2023-03-27,2023-04-02,DD,Mujer,B3G1 blusas,25
10,2023-04-03,2023-04-09,WkndPromo,Calzado,Semana Santa - Toda la colección B1G1 50% off,50
10,2023-04-03,2023-04-09,OtherPromo,Calzado,Compra tenis y lleva calcetines gratis (4 al 10),15
10,2023-04-03,2023-04-09,DD,Calzado,B3G1 calzado,25
11,2023-04-10,2023-04-16,WkndPromo,Mujer,Todo ropa mujer B3G3 (14 al 17),33
11,2023-04-10,2023-04-16,DD,Calzado,B3G1 calzado,25
12,2023-04-17,2023-04-23,WkndPromo,Hombre,Colección Hombre B2G1 / Accesorios $299 (22 al 24),33
12,2023-04-17,2023-04-23,DD,Hombre,B3G1 camisas,25
13,2023-04-24,2023-04-30,WkndPromo,Accesorios,Todo accesorios B1G1 50% / Bolsos $249 (29 al 1 May),50
13,2023-04-24,2023-04-30,OtherPromo,Niños,Día del Niño - Compra ropa y lleva accesorio gratis (25 abril al 1 mayo),15
13,2023-04-24,2023-04-30,DD,Hombre,B3G1 camisas,25
14,2023-05-01,2023-05-07,WkndPromo,Mujer,Floorset Verano B2$599 (6 al 8 mayo),20
14,2023-05-01,2023-05-07,OtherPromo,Niños,Ropa infantil seleccionada (25 abril al 10 mayo),25
14,2023-05-01,2023-05-07,DD,Mujer,B2G1 vestidos,33
15,2023-05-08,2023-05-14,WkndPromo,Calzado,Colección Verano TITBI $485 / Botas $799 (14 y 15),20
15,2023-05-08,2023-05-14,DD,Mujer,B2G1 vestidos,33
16,2023-05-15,2023-05-21,WkndPromo,Niños,Floorset Tropical Mix & Match B2G1 (20 al 22),33
16,2023-05-15,2023-05-21,DD,Niños,B3G1 ropa infantil,25
17,2023-05-22,2023-05-28,WkndPromo,Mujer,Ropa Mujer B3G2/B2G1 (27 al 29),33
17,2023-05-22,2023-05-28,DD,Niños,B3G1 ropa infantil,25
