sales_sample
fecha,producto,tienda,ventas
2023-01-30,Mujer,Tienda Norte,3724.9
2023-01-30,Mujer,Tienda Sur,2288.92
2023-01-30,Mujer,Tienda Centro,3157.04
2023-01-30,Mujer,Tienda Oriente,2688.66
2023-01-30,Mujer,Tienda Poniente,2867.69
2023-01-30,Niños,Tienda Norte,484.08
2023-01-30,Niños,Tienda Sur,327.35
2023-01-30,Niños,Tienda Centro,436.83
2023-01-30,Niños,Tienda Oriente,358.32
2023-01-30,Niños,Tienda Poniente,404.83
2023-01-30,Calzado,Tienda Norte,962.0
2023-01-30,Calzado,Tienda Sur,619.25
2023-01-30,Calzado,Tienda Centro,831.07
2023-01-30,Calzado,Tienda Oriente,661.99
2023-01-30,Calzado,Tienda Poniente,704.5
2023-01-30,Hombre,Tienda Norte,809.84
2023-01-30,Hombre,Tienda Sur,531.47
2023-01-30,Hombre,Tienda Centro,769.2
2023-01-30,Hombre,Tienda Oriente,591.86
2023-01-30,Hombre,Tienda Poniente,652.76
2023-01-30,Accesorios,Tienda Norte,98.67
2023-01-30,Accesorios,Tienda Sur,75.0
2023-01-30,Accesorios,Tienda Centro,80.06
2023-01-30,Accesorios,Tienda Oriente,75.0
2023-01-30,Accesorios,Tienda Poniente,77.17
2023-01-31,Mujer,Tienda Norte,3954.08
2023-01-31,Mujer,Tienda Sur,2504.54
2023-01-31,Mujer,Tienda Centro,3423.36
2023-01-31,Mujer,Tienda Oriente,2870.3
2023-01-31,Mujer,Tienda Poniente,2915.68
2023-01-31,Niños,Tienda Norte,572.6
2023-01-31,Niños,Tienda Sur,318.84
2023-01-31,Niños,Tienda Centro,413.93
2023-01-31,Niños,Tienda Oriente,375.13
2023-01-31,Niños,Tienda Poniente,410.6
2023-01-31,Calzado,Tienda Norte,1055.28
2023-01-31,Calzado,Tienda Sur,643.21
2023-01-31,Calzado,Tienda Centro,808.64
2023-01-31,Calzado,Tienda Oriente,729.64
2023-01-31,Calzado,Tienda Poniente,743.06
2023-01-31,Hombre,Tienda Norte,905.68
2023-01-31,Hombre,Tienda Sur,551.89
2023-01-31,Hombre,Tienda Centro,773.58
2023-01-31,Hombre,Tienda Oriente,653.73
2023-01-31,Hombre,Tienda Poniente,720.45
2023-01-31,Accesorios,Tienda Norte,104.14
2023-01-31,Accesorios,Tienda Sur,75.0
2023-01-31,Accesorios,Tienda Centro,88.64
2023-01-31,Accesorios,Tienda Oriente,75.0
2023-01-31,Accesorios,Tienda Poniente,76.16
2023-02-01,Mujer,Tienda Norte,3981.64
2023-02-01,Mujer,Tienda Sur,2562.14
2023-02-01,Mujer,Tienda Centro,3403.98
2023-02-01,Mujer,Tienda Oriente,3120.91
2023-02-01,Mujer,Tienda Poniente,3012.39
2023-02-01,Niños,Tienda Norte,538.83
2023-02-01,Niños,Tienda Sur,361.65
2023-02-01,Niños,Tienda Centro,511.74
2023-02-01,Niños,Tienda Oriente,402.1
2023-02-01,Niños,Tienda Poniente,453.42
2023-02-01,Calzado,Tienda Norte,1099.34
2023-02-01,Calzado,Tienda Sur,632.03
2023-02-01,Calzado,Tienda Centro,815.57
2023-02-01,Calzado,Tienda Oriente,696.61
2023-02-01,Calzado,Tienda Poniente,828.33
2023-02-01,Hombre,Tienda Norte,863.82
2023-02-01,Hombre,Tienda Sur,570.36
2023-02-01,Hombre,Tienda Centro,792.17
2023-02-01,Hombre,Tienda Oriente,631.34
2023-02-01,Hombre,Tienda Poniente,735.59
2023-02-01,Accesorios,Tienda Norte,107.05
2023-02-01,Accesorios,Tienda Sur,75.0
2023-02-01,Accesorios,Tienda Centro,90.74
2023-02-01,Accesorios,Tienda Oriente,75.0
2023-02-01,Accesorios,Tienda Poniente,78.12
2023-02-02,Mujer,Tienda Norte,3764.01
2023-02-02,Mujer,Tienda Sur,2522.25
2023-02-02,Mujer,Tienda Centro,3226.96
2023-02-02,Mujer,Tienda Oriente,2704.73
2023-02-02,Mujer,Tienda Poniente,3123.53
2023-02-02,Niños,Tienda Norte,527.76
2023-02-02,Niños,Tienda Sur,331.7
2023-02-02,Niños,Tienda Centro,421.82
2023-02-02,Niños,Tienda Oriente,358.87
2023-02-02,Niños,Tienda Poniente,409.11
2023-02-02,Calzado,Tienda Norte,1013.32
2023-02-02,Calzado,Tienda Sur,646.34
2023-02-02,Calzado,Tienda Centro,839.96
2023-02-02,Calzado,Tienda Oriente,696.45
2023-02-02,Calzado,Tienda Poniente,770.41
2023-02-02,Hombre,Tienda Norte,937.62
2023-02-02,Hombre,Tienda Sur,571.97
2023-02-02,Hombre,Tienda Centro,764.09
2023-02-02,Hombre,Tienda Oriente,587.23
2023-02-02,Hombre,Tienda Poniente,715.29
2023-02-02,Accesorios,Tienda Norte,102.26
2023-02-02,Accesorios,Tienda Sur,75.0
2023-02-02,Accesorios,Tienda Centro,84.85
2023-02-02,Accesorios,Tienda Oriente,76.02
2023-02-02,Accesorios,Tienda Poniente,75.92
2023-02-03,Mujer,Tienda Norte,4765.21
2023-02-03,Mujer,Tienda Sur,2727.69
2023-02-03,Mujer,Tienda Centro,3630.31
2023-02-03,Mujer,Tienda Oriente,2874.84
2023-02-03,Mujer,Tienda Poniente,3363.53
2023-02-03,Niños,Tienda Norte,549.36
2023-02-03,Niños,Tienda Sur,328.3
2023-02-03,Niños,Tienda Centro,448.59
2023-02-03,Niños,Tienda Oriente,311.51
2023-02-03,Niños,Tienda Poniente,408.25
2023-02-03,Calzado,Tienda Norte,957.16
2023-02-03,Calzado,Tienda Sur,556.67
2023-02-03,Calzado,Tienda Centro,762.3
2023-02-03,Calzado,Tienda Oriente,644.28
2023-02-03,Calzado,Tienda Poniente,779.03
2023-02-03,Hombre,Tienda Norte,789.98
2023-02-03,Hombre,Tienda Sur,502.61
2023-02-03,Hombre,Tienda Centro,755.68
2023-02-03,Hombre,Tienda Oriente,564.89
2023-02-03,Hombre,Tienda Poniente,630.34
2023-02-03,Accesorios,Tienda Norte,113.45
2023-02-03,Accesorios,Tienda Sur,75.0
2023-02-03,Accesorios,Tienda Centro,96.6
2023-02-03,Accesorios,Tienda Oriente,75.0
2023-02-03,Accesorios,Tienda Poniente,90.77
2023-02-04,Mujer,Tienda Norte,4227.52
2023-02-04,Mujer,Tienda Sur,2917.44
2023-02-04,Mujer,Tienda Centro,3630.02
2023-02-04,Mujer,Tienda Oriente,3139.09
2023-02-04,Mujer,Tienda Poniente,3025.71
2023-02-04,Niños,Tienda Norte,488.04
2023-02-04,Niños,Tienda Sur,307.5
2023-02-04,Niños,Tienda Centro,454.3
2023-02-04,Niños,Tienda Oriente,309.64
2023-02-04,Niños,Tienda Poniente,397.81
2023-02-04,Calzado,Tienda Norte,920.88
2023-02-04,Calzado,Tienda Sur,594.26
2023-02-04,Calzado,Tienda Centro,784.07
2023-02-04,Calzado,Tienda Oriente,619.78
2023-02-04,Calzado,Tienda Poniente,667.66
2023-02-04,Hombre,Tienda Norte,747.68
2023-02-04,Hombre,Tienda Sur,498.0
2023-02-04,Hombre,Tienda Centro,670.78
2023-02-04,Hombre,Tienda Oriente,614.14
2023-02-04,Hombre,Tienda Poniente,596.04
2023-02-04,Accesorios,Tienda Norte,110.13
2023-02-04,Accesorios,Tienda Sur,75.0
2023-02-04,Accesorios,Tienda Centro,89.7
2023-02-04,Accesorios,Tienda Oriente,76.01
2023-02-04,Accesorios,Tienda Poniente,86.95
2023-02-05,Mujer,Tienda Norte,4637.43
2023-02-05,Mujer,Tienda Sur,2647.08
2023-02-05,Mujer,Tienda Centro,3435.32
2023-02-05,Mujer,Tienda Oriente,3056.2
2023-02-05,Mujer,Tienda Poniente,3406.01
2023-02-05,Niños,Tienda Norte,513.93
2023-02-05,Niños,Tienda Sur,297.07
2023-02-05,Niños,Tienda Centro,449.07
2023-02-05,Niños,Tienda Oriente,348.48
2023-02-05,Niños,Tienda Poniente,399.52
2023-02-05,Calzado,Tienda Norte,971.21
2023-02-05,Calzado,Tienda Sur,578.22
2023-02-05,Calzado,Tienda Centro,782.06
2023-02-05,Calzado,Tienda Oriente,701.3
2023-02-05,Calzado,Tienda Poniente,709.4
2023-02-05,Hombre,Tienda Norte,804.33
2023-02-05,Hombre,Tienda Sur,505.68
2023-02-05,Hombre,Tienda Centro,744.79
2023-02-05,Hombre,Tienda Oriente,569.09
2023-02-05,Hombre,Tienda Poniente,645.47
2023-02-05,Accesorios,Tienda Norte,117.35
2023-02-05,Accesorios,Tienda Sur,75.0
2023-02-05,Accesorios,Tienda Centro,85.03
2023-02-05,Accesorios,Tienda Oriente,77.66
2023-02-05,Accesorios,Tienda Poniente,85.98
2023-02-06,Mujer,Tienda Norte,2661.44
2023-02-06,Mujer,Tienda Sur,1759.77
2023-02-06,Mujer,Tienda Centro,2389.81
2023-02-06,Mujer,Tienda Oriente,1806.63
2023-02-06,Mujer,Tienda Poniente,2163.35
2023-02-06,Niños,Tienda Norte,530.41
2023-02-06,Niños,Tienda Sur,305.69
